PlotID,Date,Type,Latitude,Longitude
1,5/7/2014,Pellet,46.86895,-113.9104
1,5/7/2014,Forage,46.86805,-113.9096
2,5/7/2014,Pellet,46.708717,-114.114833
2,5/7/2014,Forage,46.708717,-114.114833
3,5/7/2014,Pellet,46.466084,-113.938984
3,5/7/2014,Forage,46.466356,-113.938503
4,5/8/2014,Pellet,46.70755,-114.06918
4,5/8/2014,Forage,46.7076,-114.06921
5,7/17/2014,Biomass,46.45097,-113.83656
5,5/22/2014,Pellet,46.70373,-114.103567
5,5/22/2014,Forage,46.42075,-114.06521
6,5/22/2014,Pellet,46.7069,-114.03976
6,5/22/2014,Forage,46.42345,-114.02279
7,7/17/2014,Biomass,46.45158,-113.83524
7,5/22/2014,Pellet,46.420339,-113.940455
7,5/22/2014,Forage,46.42061,-113.940419
8,8/29/2014,Biomass,46.57524,-113.82969
8,5/22/2014,Pellet,46.465644,-113.939794
8,5/22/2014,Forage,46.466426,-113.938543
9,6/4/2014,Pellet,46.68795,-114.10985
9,6/4/2014,Forage,46.68795,-114.10985
10,8/29/2014,Biomass,46.57791,-113.82738
10,6/4/2014,Pellet,46.4431,-113.92924
10,6/4/2014,Forage,46.4431,-113.92924
11,8/29/2014,Biomass,46.57806,-113.83122
11,6/4/2014,Pellet,46.49705,-113.92995
11,6/4/2014,Forage,46.49705,-113.92995
12,8/29/2014,Biomass,46.57597,-113.83202
12,6/6/2014,Pellet,46.70649,-114.03998
12,6/6/2014,Forage,46.70649,-114.03998
13,6/18/2014,Pellet,46.70661,-114.09929
13,6/18/2014,Forage,46.70661,-114.09924
14,6/18/2014,Pellet,46.7151,-114.05221
14,6/18/2014,Forage,46.7151,-114.05221
15,6/18/2014,Pellet,46.84587,-113.87551
15,6/18/2014,Forage,46.84587,-113.87551
16,7/23/2015,Biomass,46.46618,-113.84541
16,6/18/2014,Pellet,46.50175,-113.92716
16,6/18/2014,Forage,46.52398,-113.9144
17,7/23/2015,Biomass,46.46541,-113.84467
17,6/19/2014,Pellet,46.70725,-114.03912
17,6/19/2014,Forage,46.70725,-114.03912
