system:index,Date,Longitude,PlotID,Type,description,doy-20140306,doy-20140322,doy-20140407,doy-20140423,doy-20140509,doy-20140525,doy-20140610,doy-20140626,doy-20140712,doy-20140728,doy-20140813,doy-20140829,doy-20140914,doy-20140930,doy-20141016,doy-20141101,doy-20141117,doy-20141203,doy-20141219,doy-20150101,doy-20150117,doy-20150202,doy-20150218,doy-20150306,doy-20150322,doy-20150407,doy-20150423,doy-20150509,doy-20150525,doy-20150610,doy-20150626,doy-20150712,doy-20150728,doy-20150813,doy-20150829,doy-20150914,doy-20150930,doy-20151016,doy-20151101,doy-20151117,doy-20151203,doy-20151219,doy-20160101,doy-20160117,doy-20160202,evi-20140306,evi-20140322,evi-20140407,evi-20140423,evi-20140509,evi-20140525,evi-20140610,evi-20140626,evi-20140712,evi-20140728,evi-20140813,evi-20140829,evi-20140914,evi-20140930,evi-20141016,evi-20141101,evi-20141117,evi-20141203,evi-20141219,evi-20150101,evi-20150117,evi-20150202,evi-20150218,evi-20150306,evi-20150322,evi-20150407,evi-20150423,evi-20150509,evi-20150525,evi-20150610,evi-20150626,evi-20150712,evi-20150728,evi-20150813,evi-20150829,evi-20150914,evi-20150930,evi-20151016,evi-20151101,evi-20151117,evi-20151203,evi-20151219,evi-20160101,evi-20160117,evi-20160202,geometry,name,ndvi-20140306,ndvi-20140322,ndvi-20140407,ndvi-20140423,ndvi-20140509,ndvi-20140525,ndvi-20140610,ndvi-20140626,ndvi-20140712,ndvi-20140728,ndvi-20140813,ndvi-20140829,ndvi-20140914,ndvi-20140930,ndvi-20141016,ndvi-20141101,ndvi-20141117,ndvi-20141203,ndvi-20141219,ndvi-20150101,ndvi-20150117,ndvi-20150202,ndvi-20150218,ndvi-20150306,ndvi-20150322,ndvi-20150407,ndvi-20150423,ndvi-20150509,ndvi-20150525,ndvi-20150610,ndvi-20150626,ndvi-20150712,ndvi-20150728,ndvi-20150813,ndvi-20150829,ndvi-20150914,ndvi-20150930,ndvi-20151016,ndvi-20151101,ndvi-20151117,ndvi-20151203,ndvi-20151219,ndvi-20160101,ndvi-20160117,ndvi-20160202,summaryQA-20140306,summaryQA-20140322,summaryQA-20140407,summaryQA-20140423,summaryQA-20140509,summaryQA-20140525,summaryQA-20140610,summaryQA-20140626,summaryQA-20140712,summaryQA-20140728,summaryQA-20140813,summaryQA-20140829,summaryQA-20140914,summaryQA-20140930,summaryQA-20141016,summaryQA-20141101,summaryQA-20141117,summaryQA-20141203,summaryQA-20141219,summaryQA-20150101,summaryQA-20150117,summaryQA-20150202,summaryQA-20150218,summaryQA-20150306,summaryQA-20150322,summaryQA-20150407,summaryQA-20150423,summaryQA-20150509,summaryQA-20150525,summaryQA-20150610,summaryQA-20150626,summaryQA-20150712,summaryQA-20150728,summaryQA-20150813,summaryQA-20150829,summaryQA-20150914,summaryQA-20150930,summaryQA-20151016,summaryQA-20151101,summaryQA-20151117,summaryQA-20151203,summaryQA-20151219,summaryQA-20160101,summaryQA-20160117,summaryQA-20160202,.geo
2,1405560000000,-113.83656,5,Biomass,,71,81,101,121,143,153,172,192,208,219,240,251,263,279,293,315,336,349,1,1,21,44,63,79,81,111,124,130,159,170,181,202,211,225,255,266,278,290,311,332,339,2,2,25,40,2042,3116,2976,2013,2969,3047,2457,3040,3009,3127,2672,2616,2466,2393,2507,1537,2034,2207,1749,1749,2571,2281,2925,2173,2363,2238,2431,2659,2470,2831,3364,2371,2699,2612,2223,1782,2098,2757,2189,2573,1828,2051,2051,2986,2095,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83656,46.45097]}",,3868,5031,3983,3044,6561,6163,6901,6602,7043,6718,7067,6906,6613,6366,7121,1232,3265,2095,2818,2818,2891,5084,5630,6145,5908,6107,5491,6488,7212,6958,6430,6780,6327,6846,7154,6642,7600,6343,3422,2734,4800,3599,3599,7108,8852,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83656,46.45097]}"
3,1405560000000,-113.83524,7,Biomass,,71,81,101,121,143,151,172,192,194,219,240,256,265,279,293,315,336,349,1,1,21,44,63,79,81,111,113,130,159,170,181,202,211,225,243,266,288,290,311,330,339,2,10,25,40,1969,3116,1877,2399,2969,2487,2458,2918,3625,3088,2666,2458,2284,2071,2507,1170,2382,1877,2305,2305,2571,2368,2396,1972,2363,2238,2199,2389,2470,2701,3214,2521,2449,2158,2188,2147,2542,2769,2198,2226,2146,2130,978,2255,2360,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83524,46.45158]}",,2437,5031,2625,3620,6561,6324,7031,6206,6794,6336,6410,6471,5747,6958,7121,865,2097,1473,2267,2267,2891,4695,3936,6098,5908,6107,5997,5359,7212,6273,6101,6338,5792,6863,6298,6304,6019,6347,2302,2189,3930,2438,962,2821,3730,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83524,46.45158]}"
4,1409270000000,-113.82969,8,Biomass,,71,95,103,121,143,157,172,192,208,215,240,249,263,279,293,317,334,349,1,1,30,48,53,67,86,110,113,129,158,167,177,202,223,225,243,263,287,290,311,332,339,1,1,25,38,2288,3073,2382,1908,3302,3552,2870,3095,3065,2853,2858,3249,2960,2841,3590,1858,3195,2832,3087,3087,3565,3428,2527,2446,2813,2973,2651,2429,2961,3562,2779,2832,2788,2730,2776,3293,3182,3349,3066,3912,3274,2984,2984,2092,2407,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.82969,46.57524]}",,2431,3143,2905,2298,6293,7159,7508,6866,7193,7039,7173,7328,7303,7252,8206,3040,5143,3368,4143,4143,5600,5793,2879,3421,6032,6098,6143,6154,6863,7188,6801,6956,7502,7056,7105,7185,8068,7404,4805,5017,5526,3064,3064,5846,2811,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.82969,46.57524]}"
5,1409270000000,-113.82738,10,Biomass,,71,95,110,121,143,157,172,183,208,215,240,249,268,279,293,320,334,349,1,1,26,48,63,65,86,110,117,129,159,163,177,202,211,225,255,266,287,290,311,332,339,1,1,26,38,2198,3073,2514,2144,3163,3251,2874,2884,3110,2929,2898,2994,3072,2368,2865,2038,2749,2720,3213,3213,3117,3676,3247,3193,2788,2735,3042,2253,2713,2954,2919,2897,2995,2767,2690,2369,2828,3838,3763,3452,3769,2251,2251,4235,2222,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.82738,46.57791]}",,2637,3143,3724,2554,6588,6984,7435,7157,7397,7386,7323,6958,7947,7181,7970,2773,4361,3097,4503,4503,5900,6018,5939,4907,5887,5622,6018,5937,7584,6940,7529,7382,7360,7452,7926,7014,8165,7583,5568,5344,6581,2680,2680,4963,3430,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.82738,46.57791]}"
6,1409270000000,-113.83122,11,Biomass,,71,93,110,121,143,157,172,192,208,215,240,249,268,279,293,320,334,349,1,1,26,48,53,67,86,110,113,129,159,163,177,202,223,225,254,266,273,290,311,332,339,1,1,25,38,2880,2358,2832,2789,3315,3436,2916,3239,3174,2929,3103,3187,3092,2778,2987,1997,3705,3422,3588,3588,3117,3677,3447,3075,2725,3230,2789,2783,2881,3185,2986,2868,3058,2873,3350,2794,2517,3838,3763,3716,4394,2357,2357,2092,2839,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83122,46.57806]}",,3470,3701,4406,3137,6697,7117,7515,7055,7287,7386,7434,7359,7981,7266,8348,2857,5042,3344,4886,4886,5900,6020,3906,4198,5961,6517,6575,6890,7623,7014,7459,7078,7922,7333,7221,7275,7459,7583,5568,6308,6799,2785,2785,5846,4298,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83122,46.57806]}"
7,1409270000000,-113.83202,12,Biomass,,71,95,103,121,143,157,172,192,208,215,240,249,263,279,293,317,334,349,1,1,30,48,53,67,86,110,113,129,158,167,177,202,223,225,243,263,287,290,311,332,339,1,1,25,38,2288,3073,2382,1908,3302,3552,2870,3095,3065,2853,2858,3249,2960,2841,3590,1858,3195,2832,3087,3087,3565,3428,2527,2446,2813,2973,2651,2429,2961,3562,2779,2832,2788,2730,2776,3293,3182,3349,3066,3912,3274,2984,2984,2092,2407,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83202,46.57597]}",,2431,3143,2905,2298,6293,7159,7508,6866,7193,7039,7173,7328,7303,7252,8206,3040,5143,3368,4143,4143,5600,5793,2879,3421,6032,6098,6143,6154,6863,7188,6801,6956,7502,7056,7105,7185,8068,7404,4805,5017,5526,3064,3064,5846,2811,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,2,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.83202,46.57597]}"
8,1437610000000,-113.84541,16,Biomass,,75,81,101,121,143,153,172,192,208,215,240,249,265,279,293,320,321,349,1,1,31,39,63,79,89,103,124,130,159,170,179,202,211,225,254,266,284,290,311,335,346,1,1,18,40,2327,2323,2199,2126,2777,2895,2306,2973,2531,2638,2249,2346,2211,1875,1366,697,1455,1328,824,824,2438,1943,1767,1777,2588,2555,2202,2627,2229,2808,2985,2458,2341,1912,2221,1992,1704,2150,1828,914,854,220,220,767,2386,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84541,46.46618]}",,6416,4365,5323,3930,6611,6626,7420,7408,7154,7352,7182,7364,7217,7418,8052,2287,6052,2678,2645,2645,9145,7190,7538,7415,6562,5795,5453,6895,7591,7331,7287,7096,7202,7009,6920,7291,7320,6571,4277,6600,1486,1213,1213,2310,8857,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84541,46.46618]}"
9,1437610000000,-113.84467,17,Biomass,,75,81,101,121,143,153,172,192,208,215,240,249,265,279,293,320,321,349,1,1,31,39,63,79,89,103,124,130,159,170,179,202,211,225,254,266,284,290,311,335,346,1,1,18,40,2327,2323,2199,2126,2777,2895,2306,2973,2531,2638,2249,2346,2211,1875,1366,697,1455,1328,824,824,2438,1943,1767,1777,2588,2555,2202,2627,2229,2808,2985,2458,2341,1912,2221,1992,1704,2150,1828,914,854,220,220,767,2386,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84467,46.46541]}",,6416,4365,5323,3930,6611,6626,7420,7408,7154,7352,7182,7364,7217,7418,8052,2287,6052,2678,2645,2645,9145,7190,7538,7415,6562,5795,5453,6895,7591,7331,7287,7096,7202,7009,6920,7291,7320,6571,4277,6600,1486,1213,1213,2310,8857,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84467,46.46541]}"
10,1437610000000,-113.84296,18,Biomass,,75,81,101,121,143,153,172,192,208,215,240,249,268,279,293,320,321,349,1,1,21,39,63,67,89,103,113,130,159,170,179,202,211,225,255,266,273,290,311,335,346,1,1,18,40,1825,2535,2284,2262,2777,2521,2190,2807,2757,2351,2090,2545,1757,1801,1639,868,1455,1328,1838,1838,1108,2119,2105,1675,2561,2499,2153,2627,2210,2555,2568,2468,2692,1920,2131,1992,1937,2332,1828,1520,1067,369,369,1322,1890,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84296,46.46559]}",,5706,7617,5138,4417,6611,6310,7229,7132,7446,6895,7092,7472,7702,6896,7920,2077,6052,2678,3053,3053,4870,6767,6798,7181,6666,5853,6550,6895,7401,7019,6921,7084,7380,7117,7523,7291,7225,6607,4277,6289,1828,1687,1687,2543,5295,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.84296,46.46559]}"
11,1437610000000,-113.844,19,Biomass,,75,81,101,121,143,153,172,192,208,215,240,249,265,279,293,320,321,349,1,1,31,39,63,79,89,103,124,130,159,170,179,202,211,225,254,266,284,290,311,335,346,1,1,18,40,2327,2323,2199,2126,2777,2895,2306,2973,2531,2638,2249,2346,2211,1875,1366,697,1455,1328,824,824,2438,1943,1767,1777,2588,2555,2202,2627,2229,2808,2985,2458,2341,1912,2221,1992,1704,2150,1828,914,854,220,220,767,2386,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.844,46.46484]}",,6416,4365,5323,3930,6611,6626,7420,7408,7154,7352,7182,7364,7217,7418,8052,2287,6052,2678,2645,2645,9145,7190,7538,7415,6562,5795,5453,6895,7591,7331,7287,7096,7202,7009,6920,7291,7320,6571,4277,6600,1486,1213,1213,2310,8857,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,2,2,1,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-113.844,46.46484]}"
