"PlotVisit","GDM"
"10.2014-08-29",1013.524
"1016.2015-08-26",53.772
"1017.2015-08-26",67.684
"1018.2015-08-26",17.691
"1019.2015-08-26",100.928
"1020.2015-08-26",29.987
"1022.2015-07-28",25.662
"1023.2015-07-28",9.364
"1026.2015-07-29",980.177
"1028.2015-07-29",1355.199
"1034.2015-07-28",27.298
"1035.2015-07-28",88.975
"1036.2015-07-17",70.944
"1037.2015-07-17",29.648
"1038.2015-07-17",89.792
"1039.2015-07-17",28.506
"1040.2015-07-17",12.732
"1041.2015-08-13",179.949
"1042.2015-08-13",62.883
"1043.2015-08-13",0.411
"1044.2015-08-13",197.785
"1045.2015-08-13",95.596
"1046.2015-08-04",136.966
"1047.2015-08-04",8.91
"1048.2015-08-04",623.507
"1049.2015-08-04",689.678
"1051.2015-08-24",52.736
"1052.2015-08-24",126.902
"1053.2015-08-24",366.38
"1055.2015-08-24",111.757
"1057.2015-07-27",856.051
"1059.2015-07-27",683.951
"106.2014-08-22",6.805
"1061.2015-07-29",698.502
"1063.2015-07-29",750.669
"1065.2015-07-29",339.927
"1071.2015-08-26",33.872
"1072.2015-08-26",33.029
"1073.2015-08-26",38.613
"1074.2015-08-26",105.24
"1075.2015-08-26",80.948
"1076.2015-07-30",442.734
"1078.2015-07-30",355.854
"1079.2015-07-30",778.117
"108.2014-08-22",7.843
"1080.2015-07-30",295.113
"1081.2015-07-28",35.757
"1082.2015-07-28",3.532
"1083.2015-07-28",10.786
"1084.2015-07-28",82.841
"1085.2015-07-28",35.282
"1086.2015-08-03",166.335
"1087.2015-08-03",239.014
"1088.2015-08-03",122.024
"1089.2015-08-03",56.673
"109.2014-08-22",137.64
"1090.2015-08-03",107.771
"1091.2015-08-07",123.575
"1092.2015-08-07",171.141
"1093.2015-08-07",213.609
"1094.2015-08-07",79.898
"1095.2015-08-07",42.791
"1096.2015-08-11",43.661
"1097.2015-08-11",38.495
"1098.2015-08-11",5.028
"1099.2015-08-11",13.993
"11.2014-08-29",810.295
"1100.2015-08-11",75.986
"1101.2015-08-11",129.216
"1102.2015-08-11",34.577
"1103.2015-08-11",143.209
"1104.2015-08-11",17.284
"1105.2015-08-11",13.613
"12.2014-08-29",1326.336
"1200.2015-07-16",16.237
"1201.2015-07-16",12.776
"1202.2015-07-16",39.502
"1203.2015-07-16",31.617
"1204.2015-07-16",23.916
"1205.2015-07-16",30.151
"1206.2015-07-16",9.633
"1207.2015-07-31",11.71
"1208.2015-07-31",20.402
"1209.2015-07-31",17.871
"1210.2015-08-27",16.963
"1211.2015-08-27",13.428
"1212.2015-07-21",35.28
"1213.2015-07-21",28.954
"1214.2015-07-21",36.71
"1215.2015-07-21",31.245
"1216.2015-07-21",31.101
"1217.2015-07-31",32.573
"1218.2015-07-31",38.329
"1219.2015-07-31",43.157
"122.2015-07-22",146.698
"1220.2015-07-31",19.927
"1221.2015-07-31",19.884
"1227.2015-07-22",21.458
"1228.2015-07-22",35.442
"1229.2015-07-22",4.682
"123.2015-07-22",6.757
"1230.2015-07-22",15.126
"1231.2015-07-22",7.749
"124.2015-07-22",67.972
"1241.2015-08-05",0.246
"1243.2015-08-05",0.517
"1245.2015-08-31",149.915
"1246.2015-08-31",130.769
"1247.2015-08-24",134.836
"1248.2015-08-24",78.976
"1249.2015-08-24",7.493
"125.2015-07-22",210.006
"1250.2015-08-24",56.63
"1251.2015-08-24",158.81
"1252.2015-08-31",184.357
"1254.2015-08-03",88.357
"1256.2015-08-03",70.28
"1257.2015-08-03",164.739
"1258.2015-08-27",302.5
"1259.2015-08-27",105.867
"1260.2015-08-17",28.708
"1261.2015-08-17",44.112
"1262.2015-08-17",17.225
"1263.2015-08-17",29.287
"1264.2015-08-17",45.32
"1265.2015-08-27",70.657
"1266.2015-08-27",31.306
"1267.2015-08-27",38.024
"1268.2015-08-31",58.491
"1269.2015-08-31",37.623
"131.2015-08-20",39.319
"132.2015-08-20",72.295
"133.2015-08-20",143.659
"134.2015-08-20",146.224
"135.2015-08-20",45.616
"141.2014-08-20",73.909
"144.2014-08-20",85.647
"145.2014-08-20",197.458
"146.2014-07-22",36.354
"147.2014-07-16",355.059
"148.2014-07-22",89.182
"149.2014-07-22",73.752
"150.2014-07-22",217.833
"151.2015-08-18",243.958
"153.2015-08-18",11.431
"154.2015-08-18",148.142
"16.2015-07-23",1599.931
"161.2014-08-04",44.098
"162.2014-08-04",33.094
"164.2014-08-04",74.135
"165.2014-08-04",49.827
"17.2015-07-23",1261.547
"171.2014-08-22",42.891
"172.2014-08-12",12.363
"173.2014-08-22",51.616
"174.2014-08-12",52.118
"175.2014-08-22",106.35
"176.2015-08-18",11.774
"179.2015-08-18",38.897
"18.2015-07-23",2011.386
"19.2015-07-23",1007.33
"191.2015-08-04",781.686
"192.2015-08-04",574.391
"193.2015-08-04",610.156
"194.2015-08-03",340.738
"195.2015-08-04",293.677
"20.2015-07-21",466.298
"206.2014-08-26",270.829
"207.2014-08-26",307.483
"208.2014-08-26",495.881
"209.2014-08-26",646.503
"21.2015-07-21",52.451
"210.2014-08-26",85.129
"216.2015-08-03",9.341
"217.2015-08-03",230.665
"218.2015-08-03",455.972
"22.2015-07-21",138.911
"220.2015-08-03",319.575
"221.2015-08-28",9.806
"222.2015-08-28",121.736
"223.2015-08-28",145.104
"224.2015-08-28",94.903
"231.2015-08-19",316.788
"232.2015-08-19",344.676
"233.2015-08-19",509.253
"234.2015-08-19",1395.692
"235.2015-08-19",636.715
"237.2014-08-29",818.184
"238.2014-08-29",748.771
"239.2014-08-29",781.548
"24.2015-07-21",100.779
"240.2014-08-29",585.92
"244.2014-07-24",265.612
"245.2014-07-24",941.996
"246.2014-07-24",986.665
"25.2014-08-28",82.243
"26.2014-08-28",139.899
"265.2014-07-24",1558.551
"266.2014-07-24",416.975
"267.2014-07-24",404.207
"268.2014-07-29",460.47
"269.2014-07-29",790.413
"27.2014-08-28",245.464
"270.2015-08-06",128.217
"279.2015-08-31",10.197
"28.2014-08-28",528.15
"280.2015-08-31",35.589
"281.2015-08-21",14.469
"282.2015-08-21",31.563
"283.2015-08-21",15.308
"284.2015-07-16",121.296
"285.2015-07-16",23.759
"286.2015-08-17",34.575
"287.2015-08-17",43.63
"288.2015-08-17",11.309
"289.2015-08-17",33.203
"29.2014-08-28",87.865
"291.2014-08-14",49.354
"293.2015-08-17",64.801
"294.2014-08-14",2.293
"300.2014-07-17",133.598
"301.2014-07-17",81.524
"302.2014-07-22",20.665
"303.2014-07-17",148.252
"304.2014-07-17",39.684
"305.2014-08-04",53.146
"306.2014-08-04",171.689
"307.2014-08-04",45.896
"308.2014-08-04",20.204
"309.2014-08-04",41.473
"310.2014-08-11",23.516
"311.2014-08-11",21.163
"312.2014-08-11",36.414
"313.2014-08-11",42.375
"314.2014-08-11",23.109
"315.2014-08-25",60.763
"316.2014-08-25",29.295
"318.2014-08-25",40.079
"319.2014-08-25",19.246
"322.2014-06-09",45.12
"322.2014-06-30",22.511
"322.2014-09-04",63.551
"323.2014-06-09",31.123
"323.2014-06-30",40.445
"323.2014-09-04",25.008
"325.2014-05-27",35.298
"325.2014-06-16",20.634
"325.2014-07-10",57.335
"325.2014-08-12",31.815
"325.2014-09-03",49.014
"325.2014-09-22",13.078
"325.2015-05-25",9.18
"325.2015-06-15",54.207
"325.2015-07-06",19.083
"325.2015-08-05",3.166
"325.2015-09-11",1.693
"325.2015-09-23",4.989
"326.2014-05-20",6.277
"326.2014-06-16",25.886
"326.2014-07-10",28.271
"326.2014-08-12",21.178
"326.2014-09-03",15.859
"326.2014-09-22",11.695
"326.2015-05-25",10.752
"326.2015-06-15",14.746
"326.2015-07-06",11.673
"326.2015-08-05",8.868
"326.2015-09-11",11.562
"326.2015-09-23",3.445
"327.2014-08-12",20.721
"328.2014-08-12",20.468
"329.2014-08-12",22.367
"330.2014-07-23",21.868
"331.2014-07-21",19.282
"332.2014-07-23",27.716
"333.2014-07-23",97.457
"334.2014-07-23",31.021
"335.2014-07-21",52.383
"336.2014-07-21",75.9
"337.2014-07-21",27.382
"338.2014-07-21",52.319
"339.2014-07-21",36.791
"340.2014-05-21",23.414
"340.2014-06-16",19.878
"340.2014-07-10",47.146
"340.2014-08-13",59.132
"340.2014-09-03",18.39
"340.2014-09-22",75.922
"340.2015-05-27",53.085
"340.2015-06-16",49.845
"340.2015-07-06",25.667
"340.2015-08-07",11.677
"340.2015-09-09",50.332
"340.2015-09-23",24.796
"341.2014-08-13",56.086
"342.2014-08-13",66.753
"343.2014-08-13",87.93
"344.2014-05-21",53.509
"344.2014-06-16",43.684
"344.2014-07-10",29.027
"344.2014-08-13",111.973
"344.2014-09-03",32.087
"344.2014-09-22",44.155
"344.2015-05-27",90.723
"344.2015-06-16",26.384
"344.2015-07-06",36.844
"344.2015-08-07",26.751
"344.2015-09-09",125.688
"344.2015-09-23",24.564
"345.2015-07-23",32.05
"346.2015-07-23",16.235
"347.2015-07-23",18.18
"348.2015-07-23",14.402
"349.2015-07-23",36.668
"35.2015-08-20",21.512
"359.2014-07-23",64.868
"36.2015-08-20",54
"360.2014-07-23",55.556
"361.2014-07-23",4.405
"362.2014-07-23",31.2
"363.2014-07-23",29.866
"364.2014-05-26",34.762
"364.2014-06-16",123.085
"364.2014-07-09",26.723
"364.2014-08-18",40.184
"364.2014-09-03",51.98
"364.2014-09-22",67.833
"364.2015-05-26",49.203
"364.2015-06-17",44.562
"364.2015-07-07",34.242
"364.2015-08-06",23.187
"364.2015-09-09",90.795
"364.2015-09-23",30.305
"366.2014-08-18",164.854
"367.2014-05-26",25.013
"367.2014-06-16",44.934
"367.2014-07-09",77.508
"367.2014-08-18",29.384
