OBJECTID,PlotID,Date,Type,y,x,RASTERVALU
1,1,5/7/2014 0:00:00,Pellet,46.868949999999998,-113.910400000000000,3
2,1,5/7/2014 0:00:00,Forage,46.868049999999997,-113.909600000000000,3
3,2,5/7/2014 0:00:00,Pellet,46.708720000000000,-114.114830000000000,3
4,2,5/7/2014 0:00:00,Forage,46.708720000000000,-114.114830000000000,3
5,3,5/7/2014 0:00:00,Pellet,46.466079999999998,-113.938980000000000,7
6,3,5/7/2014 0:00:00,Forage,46.466360000000002,-113.938500000000000,7
7,4,5/8/2014 0:00:00,Pellet,46.707549999999998,-114.069180000000000,2
8,4,5/8/2014 0:00:00,Forage,46.707599999999999,-114.069210000000000,2
9,5,7/17/2014 0:00:00,Biomass,46.450969999999998,-113.836560000000010,3
10,5,5/22/2014 0:00:00,Pellet,46.703730000000000,-114.103570000000000,3
11,5,5/22/2014 0:00:00,Forage,46.420749999999998,-114.065209999999990,7
12,6,5/22/2014 0:00:00,Pellet,46.706899999999997,-114.039760000000000,2
13,6,5/22/2014 0:00:00,Forage,46.423450000000003,-114.022790000000000,6
14,7,7/17/2014 0:00:00,Biomass,46.451580000000000,-113.835240000000000,3
15,7,5/22/2014 0:00:00,Pellet,46.420340000000003,-113.940460000000000,2
16,7,5/22/2014 0:00:00,Forage,46.420610000000003,-113.940420000000000,6
17,8,8/29/2014 0:00:00,Biomass,46.575240000000001,-113.829690000000000,3
18,8,5/22/2014 0:00:00,Pellet,46.465640000000000,-113.939790000000000,7
19,8,5/22/2014 0:00:00,Forage,46.466430000000003,-113.938540000000000,7
20,9,6/4/2014 0:00:00,Pellet,46.687950000000001,-114.109849999999990,3
21,9,6/4/2014 0:00:00,Forage,46.687950000000001,-114.109849999999990,3
22,10,8/29/2014 0:00:00,Biomass,46.577910000000003,-113.827380000000010,3
23,10,6/4/2014 0:00:00,Pellet,46.443100000000001,-113.929239999999990,2
24,10,6/4/2014 0:00:00,Forage,46.443100000000001,-113.929239999999990,2
25,11,8/29/2014 0:00:00,Biomass,46.578060000000001,-113.831220000000000,3
26,11,6/4/2014 0:00:00,Pellet,46.497050000000002,-113.929950000000010,3
27,11,6/4/2014 0:00:00,Forage,46.497050000000002,-113.929950000000010,3
28,12,8/29/2014 0:00:00,Biomass,46.575969999999998,-113.832020000000000,3
29,12,6/6/2014 0:00:00,Pellet,46.706490000000002,-114.039980000000000,6
